평가등급,휴게소명,시설구분
최우수,망향(부산),대규모
최우수,문경(양평),대규모
최우수,언양(서울),대규모
최우수,인삼랜드(하남),대규모
최우수,입장(서울),대규모
최우수,함안(순천),대규모
최우수,건천(부산),중규모
최우수,동명(춘천),중규모
최우수,산청(통영),중규모
최우수,산청(하남),중규모
최우수,서산(서울),중규모
최우수,서울만남(부산),중규모
최우수,동명(부산),소규모
최우수,주암(순천),소규모
최우수,지리산(대구),소규모
최우수,함평천지(목포),소규모
최우수,홍성(목포),소규모
최우수,홍성(서울),소규모
우수,군산(서울),대규모
우수,기흥(부산),대규모
우수,문경(마산),대규모
우수,문막(강릉),대규모
우수,문산(순천),대규모
우수,섬진강(부산),대규모
우수,안성(서울),대규모
우수,칠곡(부산),대규모
우수,칠곡(서울),대규모
우수,평사(부산),대규모
우수,함안(부산),대규모
우수,횡성(강릉),대규모
우수,건천(서울),중규모
우수,경주(부산),중규모
우수,논공(광주),중규모
우수,논공(대구),중규모
우수,백양사(천안),중규모
우수,사천(부산),중규모
우수,사천(순천),중규모
우수,안동(춘천),중규모
우수,이천(통영),중규모
우수,추풍령(부산),중규모
우수,추풍령(서울),중규모
우수,평창(강릉),중규모
우수,현풍(현풍),중규모
우수,거창(대구),소규모
우수,구정(동해),소규모
우수,동해(동해),소규모
우수,보성녹차(목포),소규모
우수,순천(순천),소규모
우수,옥계(속초),소규모
우수,정읍(순천),소규모
우수,정읍(천안),소규모
우수,주암(천안),소규모
우수,지리산(담양),소규모
우수,홍천강(춘천),소규모
우수,황간(부산),소규모
