일시,평균기온,최저기온,최고기온,일강수량
2020-07-01,21.1,18.1,24.3,0
2020-07-02,24.2,20.4,29.8,
2020-07-03,25.5,21.6,30.6,0.1
2020-07-04,24.2,20.4,29.5,1.6
2020-07-05,23.8,19.9,27.6,
2020-07-06,25.6,21.8,30.9,
2020-07-07,24.1,22.1,28.1,0
2020-07-08,25.5,21.3,30.4,
2020-07-09,27.5,21.8,32.9,
2020-07-10,24.5,22.7,27.7,2.2
2020-07-11,25.8,22.2,30.2,
2020-07-12,23.5,21.7,26,2.9
2020-07-13,18.7,17.7,21.7,47.6
2020-07-14,20.3,17.2,24.3,11.5
2020-07-15,23.4,18.9,28.7,
2020-07-16,25,20.4,29.7,
2020-07-17,26,21.5,31.6,0
2020-07-18,26.1,22.8,31,
2020-07-19,24,20.6,26.6,29.1
2020-07-20,23.8,22.4,26.6,3.6
2020-07-21,25,21.4,30.5,0
2020-07-22,23.7,22.6,25.7,11.5
2020-07-23,21.1,18.5,22.6,103.1
2020-07-24,22.5,18.7,26.8,2.9
2020-07-25,24.3,22.3,29,0
2020-07-26,25.4,21.6,29.6,0
2020-07-27,24.3,22.9,25.5,2.2
2020-07-28,24.4,22.7,26.4,0.4
2020-07-29,23.7,22.6,24.9,50.1
2020-07-30,25.3,23.4,28.4,0.1
2020-07-31,26.2,22.8,29.6,1.5
2020-08-01,25.3,24.3,26.9,39.1
2020-08-02,24.9,23.5,26.4,31.4
2020-08-03,25,23.9,26.3,102.6
2020-08-04,27,25,29.4,3.9
2020-08-05,26.5,25.5,29.1,18.5
2020-08-06,24.1,22.9,26,75.7
2020-08-07,24.3,22.6,26.1,0
2020-08-08,24.2,22.7,26.1,19.1
2020-08-09,24.9,23.7,25.8,50.3
2020-08-10,26.5,24.7,29.5,44.6
2020-08-11,24.6,22.4,27.3,97
2020-08-12,27.2,23.5,31.3,
2020-08-13,28,26.3,30.3,
2020-08-14,27.1,26.5,28,0.4
2020-08-15,26.1,25,27,69
2020-08-16,27.4,25.3,30.8,
2020-08-17,28.2,26.1,32.2,
2020-08-18,27.5,24,31.9,
2020-08-19,27.1,23.6,31.4,
2020-08-20,27.7,25,31.7,
2020-08-21,26.6,25.2,29.2,2.5
2020-08-22,24.3,21.7,27.6,42.6
2020-08-23,25.3,21.5,29.9,
2020-08-24,27.8,23.7,32,
2020-08-25,29.9,26,34.5,
2020-08-26,30.2,27,34.5,0.6
2020-08-27,27.1,25.6,28.6,8.7
2020-08-28,27.3,26,29.7,13.6
2020-08-29,26.8,25.5,29,13.6
2020-08-30,26.8,24.4,30.6,42.5
2020-08-31,26.4,23.8,30,0
2020-09-01,26.6,23.8,29.5,0
2020-09-02,24.3,22.6,26.4,33.3
2020-09-03,22.7,20,25.6,29.8
2020-09-04,23.3,19.9,27.5,
2020-09-05,23.3,19.2,27.3,
2020-09-06,21.7,19.5,24.4,6.4
2020-09-07,19.2,17.5,20.6,61
2020-09-08,23.4,20.6,26.5,0
2020-09-09,21.1,19,25.3,1.3
2020-09-10,22.8,18.8,27,3.9
2020-09-11,22.4,19.2,27.1,1.2
2020-09-12,20.2,18.1,23.2,5.7
2020-09-13,21.5,16.7,26.6,
2020-09-14,21.3,17.6,24.9,0
2020-09-15,23,18.9,27.7,
2020-09-16,22.5,21.3,24.9,0.3
2020-09-17,21.3,20.1,23.6,
2020-09-18,21.5,18.1,25.8,
2020-09-19,21.2,17.6,26.2,0.3
2020-09-20,19.7,15.6,24.9,
2020-09-21,19.1,13.6,25.3,
2020-09-22,20.2,15.5,25.6,
2020-09-23,19.2,15.2,23.8,
2020-09-24,20.6,16.8,25.4,
2020-09-25,20.1,16.6,25.4,
2020-09-26,19.3,14.8,24.8,
2020-09-27,20.4,14.9,25.8,
2020-09-28,20.7,15.7,26.5,
2020-09-29,19.6,15.3,23.9,
2020-09-30,19.6,16.2,25.7,38.3
2020-10-01,18.8,15.6,23.6,
2020-10-02,19.2,16.3,21.9,0
2020-10-03,19.9,18.3,23.2,0
2020-10-04,16.6,10.6,21.8,0
2020-10-05,13.3,8.5,18.4,
2020-10-06,14.2,9.3,19.7,
2020-10-07,16,9.9,22,
2020-10-08,17.2,12.1,23.1,
2020-10-09,17.2,12.4,23.3,
2020-10-10,16.9,12.3,21.5,
2020-10-11,16.9,12.7,20.8,
2020-10-12,16.2,12.1,21.3,
2020-10-13,13.6,8.6,18.4,
2020-10-14,12.8,8.5,18,
2020-10-15,11.7,6.5,18.5,
2020-10-16,11.8,8.6,15.4,
2020-10-17,13.1,8.7,18.6,
2020-10-18,13.6,7.2,20.2,
2020-10-19,15.1,9.8,21.3,
2020-10-20,15.2,9.9,21.7,
2020-10-21,14.1,11.8,17.3,
2020-10-22,13.5,8.4,18.2,0
2020-10-23,8.6,5.4,13.3,
2020-10-24,8.7,3.2,14,
2020-10-25,11.8,5.4,18.2,
2020-10-26,12.9,8,19,
2020-10-27,14,9,19.4,
2020-10-28,13.8,8.6,18.2,
2020-10-29,10.8,5.5,16.1,
2020-10-30,11.9,5.8,19.6,
2020-10-31,13.6,8.5,18.2,
